CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
720605808,53,F,1,Graduate,Single,Less than $40K,Blue,36,2,2,3,1438.3,0,1438.3,0.672,799,17,0.214,0
770724558,42,M,2,College,Married,$60K - $80K,Blue,28,6,1,3,7340,0,7340,0.65,838,24,0.412,0
719309958,55,M,3,Doctorate,Single,$80K - $120K,Blue,35,4,1,3,20865,0,20865,0.881,837,25,0.667,0
808897683,53,M,1,Graduate,Single,$80K - $120K,Blue,48,3,3,3,30271,1406,28865,1.336,3231,47,0.306,0.046
718939083,54,F,2,Graduate,Married,Less than $40K,Blue,45,3,1,3,1438.3,306,1132.3,1.035,694,15,0.364,0.213
712979133,55,M,4,High School,Married,$80K - $120K,Blue,41,2,2,2,27560,900,26660,1.031,646,10,0.25,0.033
720071583,48,F,2,Unknown,Married,Less than $40K,Blue,36,5,1,3,7151,800,6351,0.986,854,22,0.375,0.112
812420358,61,F,0,Graduate,Married,Less than $40K,Blue,56,3,3,3,2122,554,1568,0.857,949,17,0.133,0.261
798792408,48,M,3,High School,Married,$80K - $120K,Blue,42,1,1,3,9959,0,9959,0.688,805,24,0.143,0
711204483,56,M,4,High School,Married,$60K - $80K,Blue,46,3,3,3,2340,1930,410,0.987,781,15,0.364,0.825
713945883,62,F,2,Graduate,Married,Less than $40K,Blue,52,4,2,2,2490,513,1977,0.678,864,20,0.333,0.206
789513858,43,M,3,Unknown,Married,$40K - $60K,Blue,35,2,2,3,1438.3,0,1438.3,0.694,891,28,0.4,0
771963708,56,M,3,Unknown,Married,$60K - $80K,Blue,45,5,3,2,12248,0,12248,0.894,767,25,0.562,0
712433508,59,F,1,Unknown,Married,Unknown,Blue,50,3,2,3,1438.3,0,1438.3,0.57,724,16,0.231,0
778506633,43,F,4,College,Married,Less than $40K,Blue,23,6,2,3,7706,392,7314,0.764,965,27,0.421,0.051
713530833,58,M,2,Graduate,Married,$40K - $60K,Blue,48,2,3,3,4085,2238,1847,0.568,596,15,0.5,0.548
778699908,43,M,2,Uneducated,Married,$60K - $80K,Blue,24,2,3,3,14447,0,14447,0.856,915,29,2.222,0
716991933,53,F,3,Uneducated,Single,Less than $40K,Blue,35,6,3,1,9786,0,9786,0.701,820,25,0.562,0
802002858,62,F,1,High School,Married,Unknown,Blue,56,2,1,2,8990,0,8990,0.935,747,19,0.583,0
712373208,43,M,3,Doctorate,Single,$60K - $80K,Blue,35,3,3,2,3312,0,3312,0.698,647,19,0.462,0
708455883,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,3,2,10244,861,9383,0.78,1127,29,0.381,0.084
763895958,53,M,2,High School,Married,$120K +,Blue,46,4,3,1,7474,0,7474,0.858,732,21,0.615,0
711927108,54,M,3,High School,Married,$80K - $120K,Blue,36,2,3,4,9457,350,9107,1.024,1196,28,0.333,0.037
711147483,46,F,3,Graduate,Single,Less than $40K,Blue,28,2,2,3,8551,1067,7484,0.931,1097,32,0.778,0.125
720990183,54,M,5,High School,Married,$60K - $80K,Blue,36,5,2,3,14539,0,14539,0.907,965,26,0.529,0
716608608,41,M,2,Uneducated,Married,$80K - $120K,Blue,33,5,3,3,8004,1452,6552,0.929,1084,32,0.524,0.181
788673708,57,F,2,High School,Married,$40K - $60K,Blue,45,2,1,3,1438.3,0,1438.3,1.036,1254,35,0.842,0
816600933,56,M,0,College,Married,$80K - $120K,Blue,51,3,2,3,14501,0,14501,0.854,1031,25,0.389,0
714208533,43,M,3,High School,Married,$60K - $80K,Blue,36,1,3,3,8663,288,8375,0.639,916,33,0.32,0.033
720426708,56,M,3,High School,Single,$60K - $80K,Blue,45,2,1,3,8512,0,8512,1.038,811,27,1.25,0
708983658,51,M,2,Uneducated,Single,$120K +,Blue,39,3,3,1,16868,0,16868,0.938,940,25,0.471,0
778663458,65,M,1,High School,Married,Less than $40K,Blue,47,3,2,1,1759,0,1759,1.058,821,18,0.5,0
716024808,57,M,1,Graduate,Married,$80K - $120K,Blue,36,3,3,3,4829,2418,2411,0.601,938,21,0.4,0.501
721249158,42,M,2,Uneducated,Single,$60K - $80K,Blue,30,2,2,3,6414,0,6414,0.718,708,14,0.4,0
713845083,41,F,4,High School,Single,Less than $40K,Blue,36,6,2,3,4203,2517,1686,0.771,1489,43,0.536,0.599
813499458,45,M,5,High School,Unknown,$60K - $80K,Blue,40,3,3,1,1438.3,0,1438.3,1.23,2132,31,0.107,0
712240083,38,F,3,Unknown,Single,Less than $40K,Blue,30,6,2,2,3730,2517,1213,0.853,858,22,0.467,0.675
772532208,51,F,2,Doctorate,Married,Less than $40K,Blue,41,2,2,3,6630,916,5714,0.927,842,24,0.5,0.138
778929783,40,M,3,Graduate,Divorced,$80K - $120K,Blue,22,2,2,3,1925,0,1925,0.672,781,28,0.75,0
713053383,42,M,3,Graduate,Married,$80K - $120K,Blue,36,1,1,3,34516,781,33735,0.803,853,12,0.091,0.023
803595858,56,F,3,High School,Married,$40K - $60K,Blue,51,5,2,1,1438.3,0,1438.3,0.597,594,14,0.556,0
710754933,61,F,0,Graduate,Married,Less than $40K,Blue,49,6,2,3,1438.3,0,1438.3,0.94,840,20,0.818,0
720007383,41,F,2,Unknown,Single,Unknown,Blue,28,2,1,3,4411,2517,1894,0.988,803,15,0.875,0.571
718362783,35,M,2,Graduate,Married,$80K - $120K,Blue,27,3,2,3,12643,0,12643,0.393,787,21,0.167,0
708856983,36,M,3,Post-Graduate,Married,$120K +,Blue,27,2,1,2,13873,0,13873,0.233,694,18,0.286,0
709961958,58,F,4,High School,Divorced,Unknown,Blue,45,4,1,1,21065,2517,18548,0.84,1060,32,0.333,0.119
717412608,38,F,2,High School,Married,$40K - $60K,Blue,28,3,2,2,7225,0,7225,0.419,738,16,0.231,0
712120608,35,M,3,College,Married,$80K - $120K,Blue,27,3,2,3,3575,1884,1691,0.384,861,15,1.5,0.527
710899833,36,M,2,Graduate,Married,$40K - $60K,Blue,18,3,1,3,7758,1408,6350,0.365,569,23,0.643,0.181
739594758,51,F,2,Graduate,Single,Less than $40K,Blue,44,6,3,2,3181,2517,664,0.595,818,16,0.455,0.791
714078558,62,F,1,High School,Married,$40K - $60K,Blue,53,2,1,1,5249,0,5249,0.758,1315,31,0.722,0
779216358,48,M,2,College,Married,$80K - $120K,Blue,38,2,2,3,2111,0,2111,0.531,773,17,0.133,0
712924383,55,M,3,Unknown,Single,$60K - $80K,Blue,36,3,2,2,8411,979,7432,1.029,990,22,0.375,0.116
714983283,39,F,3,High School,Single,Less than $40K,Blue,36,6,1,3,3651,0,3651,0.977,862,19,1.111,0
710406633,51,F,3,Uneducated,Married,Unknown,Blue,36,3,3,2,3664,0,3664,0.839,1168,31,0.409,0
709991883,53,M,1,Graduate,Married,$80K - $120K,Blue,42,2,1,2,6214,1147,5067,0.861,938,35,0.75,0.185
809951133,54,M,3,College,Single,$120K +,Blue,49,3,2,3,34516,0,34516,1.203,2115,24,0.263,0
720141408,49,F,2,Graduate,Single,Less than $40K,Blue,31,5,1,2,5456,951,4505,0.737,1096,27,0.588,0.174
768490458,49,M,2,Uneducated,Married,$80K - $120K,Blue,43,1,3,3,5701,2517,3184,0.716,961,32,0.524,0.442
712196508,46,F,3,High School,Single,Unknown,Blue,34,4,3,3,29543,1164,28379,0.717,1015,27,0.35,0.039
711159108,58,F,0,High School,Married,Less than $40K,Blue,36,3,2,2,7418,396,7022,0.826,911,26,1,0.053
713206683,40,M,4,Graduate,Single,$80K - $120K,Silver,22,3,1,3,34516,0,34516,0.64,1028,26,0.3,0
778388358,56,M,3,Graduate,Single,$60K - $80K,Blue,36,2,2,3,4742,855,3887,0.635,870,24,0.5,0.18
779722308,45,F,3,High School,Married,$40K - $60K,Blue,30,5,2,2,12355,0,12355,0.912,1044,28,0.273,0
713823033,31,F,2,Unknown,Married,Unknown,Blue,20,3,1,2,8149,0,8149,0.331,808,30,0.111,0
787515333,40,M,3,Uneducated,Married,$80K - $120K,Blue,29,3,2,3,3616,1151,2465,0.687,820,21,0.75,0.318
710819733,56,M,3,Graduate,Married,$120K +,Blue,36,5,1,1,12211,0,12211,0.642,903,29,0.526,0
818375733,51,F,2,College,Married,$40K - $60K,Blue,46,3,1,3,4882,695,4187,0.508,1544,44,0.517,0.142
709707033,45,M,3,Graduate,Single,$60K - $80K,Blue,32,2,3,2,13162,0,13162,0.512,1424,38,0.583,0
721178583,37,F,3,Graduate,Unknown,Unknown,Blue,22,2,3,2,5674,0,5674,0.906,1096,29,0.526,0
771544533,42,F,5,High School,Married,Unknown,Blue,30,3,1,4,3578,0,3578,0.759,1015,36,0.44,0
708927108,53,M,2,Graduate,Married,$120K +,Blue,36,1,3,2,12778,507,12271,0.967,1133,28,0.4,0.04
711772008,35,F,3,Graduate,Single,Less than $40K,Blue,22,1,2,1,1890,666,1224,0.691,1483,36,0.5,0.352
708799983,40,M,1,Post-Graduate,Married,$60K - $80K,Blue,36,6,3,4,18386,890,17496,0.361,1698,43,0.483,0.048
718418958,30,M,1,Post-Graduate,Divorced,Less than $40K,Blue,36,6,2,4,5061,0,5061,0.911,1309,38,0.462,0
821179233,50,F,1,Post-Graduate,Single,$40K - $60K,Blue,46,1,3,3,1493,932,561,0.466,1554,43,0.344,0.624
813752433,43,F,3,Graduate,Single,Less than $40K,Blue,38,5,2,4,4075,1986,2089,1.214,2449,27,0.038,0.487
708083283,58,M,0,Unknown,Single,$40K - $60K,Blue,45,3,1,3,3421,2517,904,0.992,992,21,0.4,0.736
806407308,54,F,3,College,Single,Unknown,Blue,49,6,2,3,13184,0,13184,1.166,2047,33,0.179,0
758583708,37,F,3,Graduate,Single,Less than $40K,Blue,24,2,1,4,2802,2460,342,1.029,1406,28,0.077,0.878
721003008,36,F,4,Graduate,Married,Less than $40K,Blue,24,3,2,2,3261,2517,744,0.378,856,18,0.059,0.772
778708533,26,F,0,High School,Single,$40K - $60K,Blue,13,2,2,4,1730,1616,114,0.331,869,27,0.286,0.934
720122808,52,M,2,High School,Married,$60K - $80K,Silver,35,4,4,3,33180,511,32669,0.681,797,14,0.273,0.015
713259858,26,M,0,High School,Single,$40K - $60K,Blue,15,3,1,3,3324,0,3324,0.537,982,22,0.692,0
716053083,33,M,2,Graduate,Married,$120K +,Blue,21,2,2,4,27992,0,27992,0.433,837,18,1,0
709537683,37,M,3,College,Married,$80K - $120K,Blue,30,3,4,3,11638,926,10712,0.262,563,15,0.364,0.08
790145733,40,M,3,College,Single,$80K - $120K,Silver,33,1,3,4,34516,0,34516,0.927,1112,26,0.368,0
711509658,61,M,2,Graduate,Married,$120K +,Blue,49,3,0,4,11374,2517,8857,1.015,1088,26,1.167,0.221
719818983,39,M,1,College,Divorced,$80K - $120K,Blue,28,1,3,4,12464,0,12464,0.864,1195,35,0.522,0
804668658,26,F,0,Uneducated,Single,Less than $40K,Blue,20,3,2,4,1438.3,0,1438.3,0.506,947,20,0.053,0
720610008,59,M,1,College,Married,$120K +,Blue,50,1,5,4,15796,812,14984,0.719,1339,23,0.15,0.051
771028533,48,F,3,Post-Graduate,Married,Less than $40K,Silver,35,5,1,3,10357,0,10357,0.506,911,25,0.19,0
819610908,38,M,2,Uneducated,Single,$80K - $120K,Blue,33,1,4,4,32938,2089,30849,0.72,1137,26,0.238,0.063
816013383,65,F,0,Graduate,Divorced,Less than $40K,Blue,56,3,6,3,6184,0,6184,1.016,1712,27,0.286,0
808273533,39,M,2,High School,Single,$60K - $80K,Blue,34,3,4,3,1818,0,1818,0.651,2054,55,0.774,0
785011383,36,F,0,Uneducated,Divorced,$40K - $60K,Blue,30,1,3,4,2190,0,2190,0.908,1412,38,0.583,0
716382708,46,F,2,Graduate,Single,Less than $40K,Blue,36,3,4,3,8309,858,7451,0.888,1165,35,0.4,0.103
711224733,32,M,0,High School,Married,$120K +,Blue,27,3,3,4,22382,0,22382,0.418,695,10,0.25,0
791856033,45,M,2,College,Divorced,$80K - $120K,Blue,39,3,4,4,34516,0,34516,1.014,1041,27,0.35,0
716448783,48,F,3,Graduate,Married,$40K - $60K,Blue,39,2,4,3,6235,0,6235,0.848,1225,34,0.478,0
708892833,37,M,2,Graduate,Married,$120K +,Blue,30,2,4,4,13662,0,13662,0.153,725,22,0,0
719318583,37,M,3,High School,Married,Less than $40K,Blue,26,3,3,4,6866,2389,4477,0.395,862,13,0.182,0.348
720504633,46,M,2,Uneducated,Unknown,$60K - $80K,Blue,32,6,2,3,3254,0,3254,0.733,967,24,1.182,0
711357858,47,F,3,Graduate,Single,Less than $40K,Blue,36,5,3,4,7246,0,7246,0.612,777,13,0.625,0
711816108,40,M,3,High School,Single,$80K - $120K,Blue,29,2,2,4,18563,0,18563,0.729,2395,45,0.552,0
713663508,58,M,0,High School,Unknown,$40K - $60K,Blue,42,3,2,3,1438.3,0,1438.3,0.835,1088,22,1.444,0
789777408,26,F,0,Post-Graduate,Single,Less than $40K,Blue,15,3,2,3,1442,1428,14,0.496,1134,26,0.238,0.99
718577958,39,M,2,Uneducated,Married,$120K +,Blue,26,2,3,4,8906,0,8906,0.315,809,15,0.25,0
717664008,37,M,3,College,Married,$60K - $80K,Blue,19,2,3,4,3100,2517,583,0.35,694,12,0.2,0.812
711562833,35,M,4,Graduate,Married,$80K - $120K,Blue,24,6,3,4,12634,0,12634,0.323,717,18,0.286,0
720181758,37,M,0,Doctorate,Married,$120K +,Blue,22,3,3,4,8654,0,8654,0.446,850,18,0.385,0
720427683,58,M,2,Uneducated,Single,$120K +,Blue,46,2,3,4,16163,0,16163,0.542,2171,48,0.778,0
711692508,54,F,2,Post-Graduate,Married,Less than $40K,Blue,47,3,4,3,1438.3,0,1438.3,1.053,1154,22,0.375,0
717930483,37,M,2,Graduate,Single,$120K +,Blue,25,3,3,0,5616,0,5616,0.995,1564,31,0.476,0
715651833,65,M,1,Unknown,Single,Less than $40K,Blue,36,3,4,4,2351,0,2351,0.881,1593,35,0.591,0
715517733,46,F,3,High School,Single,Less than $40K,Silver,39,1,0,4,13092,1962,11130,0.686,936,25,0.25,0.15
778693458,32,M,1,High School,Divorced,$60K - $80K,Blue,13,3,3,3,12616,0,12616,1.054,1376,29,0.611,0
712551258,39,M,1,Uneducated,Married,Less than $40K,Blue,36,3,3,3,4247,0,4247,0.405,847,17,0.133,0
709564683,32,M,2,Graduate,Married,$40K - $60K,Blue,22,3,3,5,4739,0,4739,0.363,886,21,0.4,0
772292358,30,M,1,College,Divorced,Less than $40K,Blue,19,4,3,3,7970,0,7970,0.776,1284,30,0.429,0
713021208,55,F,2,College,Single,Unknown,Silver,36,2,3,3,34516,0,34516,0.399,1353,40,0.212,0
713104458,46,M,2,Graduate,Single,$40K - $60K,Blue,31,3,3,5,7869,0,7869,0.692,998,25,0.562,0
715366083,52,F,0,Doctorate,Single,Less than $40K,Blue,36,2,2,3,1438.3,978,460.3,0.773,947,33,0.571,0.68
716244033,44,M,3,Graduate,Married,$40K - $60K,Blue,33,2,3,3,7266,906,6360,0.676,1741,27,0.421,0.125
787463508,26,M,0,Graduate,Single,Less than $40K,Blue,13,5,2,4,2469,2410,59,0.544,1027,20,0.176,0.976
778381608,48,M,4,Doctorate,Single,$80K - $120K,Blue,28,3,3,4,6572,417,6155,0.584,1766,46,0.533,0.063
710586483,26,F,0,High School,Single,Unknown,Blue,13,1,2,4,6152,0,6152,0.391,968,23,0.533,0
709164408,32,M,1,Uneducated,Married,Less than $40K,Blue,23,1,3,3,2218,1696,522,0.367,730,20,0.429,0.765
709785783,35,F,0,Graduate,Single,Less than $40K,Blue,25,5,3,4,2300,0,2300,0.877,1485,34,0.478,0
720185058,46,M,3,Graduate,Married,$60K - $80K,Blue,36,2,3,4,4267,0,4267,0.862,1067,23,0.769,0
717813558,57,F,3,High School,Single,Unknown,Blue,36,1,4,2,8389,1960,6429,0.384,1334,38,0.407,0.234
719470458,46,M,3,College,Single,$80K - $120K,Blue,39,1,4,3,4026,243,3783,0.738,1102,27,0.8,0.06
715319958,48,M,3,Uneducated,Married,$120K +,Blue,36,5,2,4,34516,787,33729,0.763,1312,32,0.6,0.023
714412308,33,M,3,Graduate,Married,$80K - $120K,Blue,36,6,3,5,7140,0,7140,0.401,916,18,0.2,0
721243083,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516,2408,32108,0.796,1187,40,0.6,0.07
798022683,43,M,1,Graduate,Married,$80K - $120K,Blue,37,4,2,3,25517,321,25196,0.769,2508,44,0.294,0.013
716112933,39,F,3,Graduate,Married,Unknown,Blue,36,3,2,3,1575,592,983,0.236,644,15,0.154,0.376
789853533,54,M,3,High School,Married,$40K - $60K,Blue,44,2,1,5,3032,0,3032,0.949,1037,14,2.5,0
806256333,41,M,4,Graduate,Unknown,$60K - $80K,Blue,36,2,3,5,1438.3,312,1126.3,0.657,1786,26,0.733,0.217
719146008,48,M,3,Graduate,Married,$80K - $120K,Blue,39,4,4,3,18672,2517,16155,0.799,1126,35,0.591,0.135
720693033,33,M,1,Unknown,Married,$60K - $80K,Blue,36,1,3,4,8925,168,8757,0.447,741,10,0.429,0.019
712784058,45,F,2,High School,Divorced,Unknown,Blue,36,6,4,3,17156,2517,14639,0.717,1142,33,0.32,0.147
789963033,54,F,1,Graduate,Single,Less than $40K,Blue,45,3,5,5,1438.3,0,1438.3,0.647,1603,39,0.444,0
827984658,49,M,3,Post-Graduate,Married,$80K - $120K,Blue,45,3,0,4,23870,0,23870,0.604,1885,39,0.345,0
716331408,52,F,4,Unknown,Married,Less than $40K,Blue,36,1,4,5,2143,0,2143,0.853,1353,36,0.333,0
710524533,38,F,4,College,Married,$40K - $60K,Blue,36,4,4,4,4913,2517,2396,0.348,899,28,0.273,0.512
709413933,56,M,2,High School,Single,$40K - $60K,Blue,40,2,6,4,2381,651,1730,0.592,1920,46,0.586,0.273
714967233,52,M,2,Doctorate,Married,$120K +,Blue,34,3,2,3,11188,0,11188,0.658,2109,47,0.621,0
787460883,41,M,3,Uneducated,Married,$40K - $60K,Blue,28,3,3,4,11091,0,11091,0.522,1234,34,0.308,0
709206333,44,F,4,Graduate,Single,$40K - $60K,Blue,30,3,4,4,4333,0,4333,0.463,1558,40,0.538,0
821149008,52,M,2,Graduate,Single,$80K - $120K,Blue,48,6,2,4,34516,0,34516,0.539,1661,40,0.6,0
772273983,48,M,4,Uneducated,Single,$40K - $60K,Blue,37,1,3,4,5268,2191,3077,0.622,2138,40,0.429,0.416
719902908,51,M,3,Unknown,Married,$80K - $120K,Blue,36,3,3,3,5130,0,5130,0.407,1434,31,0.292,0
709163358,41,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3,4,34516,2517,31999,0.465,1727,35,0.458,0.073
708139833,40,M,3,Graduate,Unknown,$60K - $80K,Blue,30,4,2,3,6391,0,6391,0.632,2323,44,0.419,0
827476983,56,F,2,College,Single,Less than $40K,Blue,52,3,5,1,3639,2178,1461,0.451,1865,42,0.5,0.599
708563433,65,F,0,High School,Single,Unknown,Blue,56,3,6,3,5894,477,5417,1.015,1616,32,0.455,0.081
738627708,49,F,2,Unknown,Single,Unknown,Blue,41,5,3,4,5984,0,5984,0.551,1838,42,0.556,0
771833433,49,M,2,High School,Married,$80K - $120K,Blue,38,3,2,4,29893,0,29893,0.519,2063,48,0.846,0
